country,iso3,continent,landlocked,neighbors,avg_temperature_c,population,landmass_km2
Afghanistan,AFG,Asia,True,China; Iran; Pakistan; Tajikistan; Turkmenistan; Uzbekistan,12.3,40218234,652230
Albania,ALB,Europe,False,Greece; Kosovo; Montenegro; North Macedonia,12.5,2837743,28748
Algeria,DZA,Africa,False,Libya; Mali; Mauritania; Morocco; Niger; Tunisia; Western Sahara,23.4,44700000,2381741
Andorra,AND,Europe,True,France; Spain,5.2,77265,468
Angola,AGO,Africa,False,DR Congo; Namibia; Republic of the Congo; Zambia,22.7,32866268,1246700
Antigua and Barbuda,ATG,North America,False,,26.2,97928,442
Argentina,ARG,South America,False,Bolivia; Brazil; Chile; Paraguay; Uruguay,15.2,45376763,2780400
Armenia,ARM,Asia,True,Azerbaijan; Georgia; Iran; Turkey,6.8,2963234,29743
Australia,AUS,Oceania,False,,22.4,25687041,7692024
Austria,AUT,Europe,True,Czechia; Germany; Hungary; Italy; Liechtenstein; Slovakia; Slovenia; Switzerland,6.7,8917205,83871
Azerbaijan,AZE,Asia,True,Armenia; Georgia; Iran; Russia; Turkey,12.3,10110116,86600
Bahamas,BHS,North America,False,,25.4,393248,13943
Bahrain,BHR,Asia,False,,26.3,1701583,765
Bangladesh,BGD,Asia,False,India; Myanmar,25.6,164689383,147570
Barbados,BRB,North America,False,,26.4,287371,430
Belarus,BLR,Europe,True,Latvia; Lithuania; Poland; Russia; Ukraine,7.0,9398861,207600
Belgium,BEL,Europe,False,France; Germany; Luxembourg; Netherlands,10.1,11555997,30528
Belize,BLZ,North America,False,Guatemala; Mexico,25.8,397621,22966
Benin,BEN,Africa,False,Burkina Faso; Niger; Nigeria; Togo,27.8,12123198,112622
Bhutan,BTN,Asia,True,China; India,9.7,771612,38394
Bolivia,BOL,South America,True,Argentina; Brazil; Chile; Paraguay; Peru,20.9,11673029,1098581
Bosnia and Herzegovina,BIH,Europe,False,Croatia; Montenegro; Serbia,10.2,3280815,51209
Botswana,BWA,Africa,True,Namibia; South Africa; Zambia; Zimbabwe,22.3,2351625,582000
Brazil,BRA,South America,False,Argentina; Bolivia; Colombia; French Guiana; Guyana; Paraguay; Peru; Suriname; Uruguay; Venezuela,25.6,212559409,8515767
Brunei,BRN,Asia,False,Malaysia,26.7,437483,5765
Bulgaria,BGR,Europe,False,Greece; North Macedonia; Romania; Serbia; Turkey,11.5,6927288,110879
Burkina Faso,BFA,Africa,True,Benin; Ghana; Ivory Coast; Mali; Niger; Togo,28.7,20903278,272967
Burundi,BDI,Africa,True,DR Congo; Rwanda; Tanzania,20.6,11890781,27834
Cambodia,KHM,Asia,False,Laos; Thailand; Vietnam,27.7,16718971,181035
Cameroon,CMR,Africa,False,Central African Republic; Chad; Equatorial Guinea; Gabon; Nigeria; Republic of the Congo,25.0,26545864,475442
Canada,CAN,North America,False,United States,-3.3,38005238,9984670
Cape Verde,CPV,Africa,False,,23.3,555988,4033
Central African Republic,CAF,Africa,True,Cameroon; Chad; DR Congo; Republic of the Congo; South Sudan; Sudan,26.4,4829764,622984
Chad,TCD,Africa,True,Cameroon; Central African Republic; Libya; Niger; Nigeria; Sudan,27.2,16425859,1284000
Chile,CHL,South America,False,Argentina; Bolivia; Peru,9.1,19116209,756102
China,CHN,Asia,False,Afghanistan; Bhutan; Hong Kong; India; Kazakhstan; Kyrgyzstan; Laos; Macau; Mongolia; Myanmar; Nepal; North Korea; Pakistan; Russia; Tajikistan; Vietnam,7.1,1402112000,9706961
Colombia,COL,South America,False,Brazil; Ecuador; Panama; Peru; Venezuela,24.5,50882884,1141748
Comoros,COM,Africa,False,,25.3,869595,1862
Costa Rica,CRI,North America,False,Nicaragua; Panama,23.6,5094114,51100
Croatia,HRV,Europe,False,Bosnia and Herzegovina; Hungary; Montenegro; Serbia; Slovenia,12.2,4047200,56594
Cuba,CUB,North America,False,,26.0,11326616,109884
Cyprus,CYP,Europe,False,,19.6,1207361,9251
Czechia,CZE,Europe,True,Austria; Germany; Poland; Slovakia,8.5,10698896,78865
DR Congo,COD,Africa,False,Angola; Burundi; Central African Republic; Republic of the Congo; Rwanda; South Sudan; Tanzania; Uganda; Zambia,24.6,89561404,2344858
Denmark,DNK,Europe,False,Germany,8.8,5831404,43094
Djibouti,DJI,Africa,False,Eritrea; Ethiopia; Somalia,28.6,988002,23200
Dominica,DMA,North America,False,,25.7,71991,751
Dominican Republic,DOM,North America,False,Haiti,24.5,10847904,48671
Ecuador,ECU,South America,False,Colombia; Peru,21.2,17643060,276841
Egypt,EGY,Africa,False,Israel; Libya; Palestine; Sudan,23.0,102334403,1002450
El Salvador,SLV,North America,False,Guatemala; Honduras,26.4,6486201,21041
Equatorial Guinea,GNQ,Africa,False,Cameroon; Gabon,24.5,1402985,28051
Eritrea,ERI,Africa,False,Djibouti; Ethiopia; Sudan,27.1,5352000,117600
Estonia,EST,Europe,False,Latvia; Russia,6.0,1331057,45227
Eswatini,SWZ,Africa,True,Mozambique; South Africa,20.4,1160164,17364
Ethiopia,ETH,Africa,True,Djibouti; Eritrea; Kenya; Somalia; South Sudan; Sudan,23.5,114963583,1104300
Fiji,FJI,Oceania,False,,24.7,896444,18272
Finland,FIN,Europe,False,Norway; Russia; Sweden,2.6,5530719,338424
France,FRA,Europe,False,Andorra; Belgium; Germany; Italy; Luxembourg; Monaco; Spain; Switzerland,11.3,67391582,551695
Gabon,GAB,Africa,False,Cameroon; Equatorial Guinea; Republic of the Congo,25.2,2225728,267668
Gambia,GMB,Africa,False,Senegal,28.3,2416664,10689
Georgia,GEO,Asia,False,Armenia; Azerbaijan; Russia; Turkey,8.2,3714000,69700
Germany,DEU,Europe,False,Austria; Belgium; Czechia; Denmark; France; Luxembourg; Netherlands; Poland; Switzerland,9.3,83240525,357114
Ghana,GHA,Africa,False,Burkina Faso; Ivory Coast; Togo,27.6,31072945,238533
Greece,GRC,Europe,False,Albania; Bulgaria; North Macedonia; Turkey,15.0,10715549,131990
Grenada,GRD,North America,False,,26.4,112519,344
Guatemala,GTM,North America,False,Belize; El Salvador; Honduras; Mexico,23.2,16858333,108889
Guinea,GIN,Africa,False,Guinea-Bissau; Ivory Coast; Liberia; Mali; Senegal; Sierra Leone,26.5,13132792,245857
Guinea-Bissau,GNB,Africa,False,Guinea; Senegal,28.1,1967998,36125
Guyana,GUY,South America,False,Brazil; Suriname; Venezuela,25.9,786559,214969
Haiti,HTI,North America,False,Dominican Republic,25.4,11402533,27750
Honduras,HND,North America,False,El Salvador; Guatemala; Nicaragua,24.1,9904608,112492
Hungary,HUN,Europe,True,Austria; Croatia; Romania; Serbia; Slovakia; Slovenia; Ukraine,11.4,9749763,93028
Iceland,ISL,Europe,False,,1.1,366425,103000
India,IND,Asia,False,Bangladesh; Bhutan; China; Myanmar; Nepal; Pakistan,24.4,1380004385,3287590
