country,iso3,worst_remaining,expected_remaining,rank_minimax,rank_expected
Afghanistan,AFG,67,29.635897,126,97
Albania,ALB,64,30.825641,113,106
Algeria,DZA,48,26.887179,52,71
Andorra,AND,106,64.938462,186,186
Angola,AGO,48,24.948718,51,57
Antigua and Barbuda,ATG,91,54.189744,178,179
Argentina,ARG,85,46.671795,172,169
Armenia,ARM,64,33.215385,117,124
Australia,AUS,51,30.958974,73,107
Austria,AUT,56,30.087179,88,102
Azerbaijan,AZE,41,19.953846,24,22
Bahamas,BHS,68,36.374359,135,144
Bahrain,BHR,65,31.020513,120,110
Bangladesh,BGD,39,22.34359,18,37
Barbados,BRB,89,51.307692,175,173
Belarus,BLR,51,26.917949,69,72
Belgium,BEL,50,26.548718,63,69
Belize,BLZ,70,35.707692,141,137
Benin,BEN,57,29.297436,92,94
Bhutan,BTN,60,28.220513,100,85
Bolivia,BOL,56,28.076923,87,81
Bosnia and Herzegovina,BIH,65,31.953846,121,116
Botswana,BWA,32,17.389744,6,6
Brazil,BRA,80,53.133333,165,176
Brunei,BRN,77,38.610256,158,153
Bulgaria,BGR,47,24.435897,46,55
Burkina Faso,BFA,69,34.753846,138,134
Burundi,BDI,30,16.333333,3,2
Cambodia,KHM,63,31.676923,111,114
Cameroon,CMR,40,21.471795,20,28
Canada,CAN,94,61.728205,180,181
Cape Verde,CPV,52,28.261538,79,86
Central African Republic,CAF,41,18.815385,22,16
Chad,TCD,64,31.307692,115,111
Chile,CHL,80,41.082051,163,160
China,CHN,108,68.025641,188,188
Colombia,COL,58,35.14359,94,136
Comoros,COM,61,29.276923,105,93
Costa Rica,CRI,39,21.902564,17,34
Croatia,HRV,61,29.769231,106,98
Cuba,CUB,44,21.646154,38,32
Cyprus,CYP,67,33.646154,128,128
Czechia,CZE,51,27.65641,70,78
DR Congo,COD,52,31.676923,80,113
Denmark,DNK,61,30.323077,108,104
Djibouti,DJI,72,37.892308,146,151
Dominica,DMA,84,48.979487,171,172
Dominican Republic,DOM,35,18.497436,8,12
Ecuador,ECU,57,28.138462,90,83
Egypt,EGY,51,29.317949,71,95
El Salvador,SLV,57,25.861538,89,61
Equatorial Guinea,GNQ,52,23.471795,74,49
Eritrea,ERI,44,22.374359,39,38
Estonia,EST,74,37.420513,152,149
Eswatini,SWZ,42,23.676923,31,50
Ethiopia,ETH,51,30.035897,72,101
Fiji,FJI,67,37.082051,131,147
Finland,FIN,48,27.235897,53,73
France,FRA,77,36.630769,157,145
Gabon,GAB,30,15.789744,2,1
Gambia,GMB,75,39.266667,154,155
Georgia,GEO,55,28.169231,85,84
Germany,DEU,73,34.6,147,130
Ghana,GHA,68,33.225641,133,125
Greece,GRC,51,26.415385,68,66
Grenada,GRD,91,53.574359,176,177
Guatemala,GTM,30,19.071795,5,18
Guinea,GIN,49,22.794872,55,42
Guinea-Bissau,GNB,67,34.702564,129,132
Guyana,GUY,45,24.6,41,56
Haiti,HTI,41,20.210256,25,23
Honduras,HND,33,19.317949,7,20
Hungary,HUN,50,26.487179,62,68
Iceland,ISL,66,35.102564,124,135
India,IND,58,38.425641,95,152
Indonesia,IDN,64,35.994872,118,140
Iran,IRN,72,36.302564,145,143
Iraq,IRQ,53,23.215385,81,47
Ireland,IRL,61,29.779487,107,99
Israel,ISR,28,16.620513,1,5
Italy,ITA,68,31.635897,132,112
Ivory Coast,CIV,60,27.728205,99,79
Jamaica,JAM,65,30.989744,119,108
Japan,JPN,64,29.851282,112,100
Jordan,JOR,39,17.871795,15,10
Kazakhstan,KAZ,76,39.615385,156,156
Kenya,KEN,49,24.374359,56,54
Kiribati,KIR,104,64.630769,183,183
Kosovo,UNK,81,43.041026,167,165
Kuwait,KWT,54,23.102564,83,44
Kyrgyzstan,KGZ,53,27.389744,82,75
Laos,LAO,39,16.333333,14,3
Latvia,LVA,71,35.779487,144,139
Lebanon,LBN,37,18.620513,12,14
Lesotho,LSO,43,23.246154,36,48
